date,open,high,low,close,adj close,volume
2016-10-08,617.341003,619.848999,617.341003,619.107971,619.107971,42345900
2016-10-09,619.171997,619.197998,616.606995,616.752014,616.752014,39243400
2016-10-10,616.822021,621.317993,616.197021,618.994019,618.994019,67481104
2016-10-11,619.237976,642.080017,618.5,641.072021,641.072021,103590000
2016-10-12,640.870972,641.336975,635.965027,636.192017,636.192017,92370200
2016-11-16,711.166992,747.61499,709.039001,744.197998,744.197998,141294000
2016-11-17,744.875977,755.64502,739.510986,740.97699,740.97699,108579000
2016-11-18,740.705017,752.882019,736.890015,751.585022,751.585022,87363104
2016-11-19,751.833008,756.237,744.46698,751.616028,751.616028,110608000
2016-11-20,751.879028,755.47998,717.94397,731.026001,731.026001,154116000
2016-11-21,731.265015,741.721985,730.51001,739.247986,739.247986,60802400
2016-11-22,739.643005,753.869995,736.526978,751.346985,751.346985,129906000
2016-11-23,751.741028,752.25,738.924011,744.593994,744.593994,76543800
2016-11-24,744.619995,746.83197,733.48999,740.289001,740.289001,85919296
2016-11-25,740.442017,741.648987,734.591003,741.648987,741.648987,67807600
2016-11-26,741.510986,742.213989,729.625,735.382019,735.382019,54962700
2016-11-27,735.437012,739.018005,731.085022,732.034973,732.034973,52601800
2016-11-28,732.484009,738.005981,732.484009,735.812988,735.812988,61888600
2016-11-29,736.328979,737.471008,734.559021,735.604004,735.604004,68511104
2016-11-30,736.283997,747.929016,736.265015,745.690979,745.690979,84070800
2016-12-01,746.046021,758.275024,746.046021,756.773987,756.773987,80461904
2016-12-02,757.544983,781.296021,757.544983,777.94397,777.94397,127605000
2016-12-24,922.179993,923.479004,886.335022,898.822021,898.822021,137727008
2016-12-25,899.651978,899.651978,862.424011,896.182983,896.182983,143664992
2016-12-26,896.905029,913.184021,896.89801,907.609985,907.609985,123771000
2016-12-27,908.354004,940.047974,904.255005,933.197998,933.197998,167308000
2017-01-31,920.958984,972.018982,920.958984,970.403015,970.403015,164582000
2017-02-01,970.940979,989.114014,970.742004,989.02301,989.02301,150110000
2017-02-02,990.000977,1013.52002,983.221008,1011.799988,1011.799988,145820992
2017-02-03,1011.460022,1033.869995,1008.789978,1029.910034,1029.910034,201278000
2017-02-04,1031.329956,1045.900024,1015.159973,1042.900024,1042.900024,155064000
2017-02-05,1043.52002,1043.630005,1022.369995,1027.339966,1027.339966,114208000
2017-02-06,1028.400024,1044.640015,1028.160034,1038.150024,1038.150024,111762000
2017-02-07,1040.140015,1061.930054,1040.140015,1061.349976,1061.349976,146007008
2017-02-08,1062.319946,1078.969971,1037.48999,1063.069946,1063.069946,201855008
2017-02-09,1064.699951,1088.98999,953.343994,994.382996,994.382996,407220000
2017-02-10,995.632019,998.905029,946.690979,988.674011,988.674011,190452000
2017-02-11,988.89801,1009.289978,982.830017,1004.450012,1004.450012,102261000
2017-02-12,1003.52002,1004.76001,996.921021,999.18103,999.18103,67530000
2017-02-13,998.88501,1002.099976,976.002014,990.642029,990.642029,100607000
2017-02-14,991.734985,1011.51001,986.471008,1004.549988,1004.549988,137946000
2017-02-15,1006.210022,1008.840027,1001.580017,1007.47998,1007.47998,89759400
